"name","mfr","type","calories","protein","fat","sodium","fiber","carbo","sugars","potass","vitamins","shelf","weight","cuts","rating"
"Oven-Grilled Silver Gerbil","N","C",70,4,1,130,10,5,6,280,25,3,1,0.33,68.402973
"Thermal-Cooked Chaos Seal","Q","C",120,3,5,15,2,8,8,135,0,3,1,1,33.983679
"Oven-Baked Phase Ferret","K","C",70,4,1,260,9,7,5,320,25,3,1,0.33,59.425505
"Simmered Nightmare Havanese","K","C",50,4,0,140,14,8,0,330,25,3,1,0.5,93.704912
"Ethereal Watercress Soufflé","R","C",110,2,2,200,1,14,8,-1,25,3,1,0.75,34.384843
"Light Mushroom Tarte Tatin","G","C",110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.509541
"Dragon Pancakes","K","C",110,2,0,125,1,11,14,30,25,2,1,1,33.174094
"Dragonturtle Fruitcake","G","C",130,3,2,210,2,18,8,100,25,3,1.33,0.75,37.038562
"Kimmajube Bread","R","C",90,2,1,200,4,15,6,125,25,1,1,0.67,49.120253
"Ranimbi Bombe","P","C",90,3,0,210,5,13,5,190,25,3,1,0.67,53.313813
"Steamed Aberrant Platypus","Q","C",120,1,2,220,0,12,12,35,25,2,1,0.75,18.042851
"Baked Faceless Albatross","G","C",110,6,2,290,2,17,1,105,25,1,1,1.25,50.764999
"Barbecued Arcane Peacock","G","C",120,1,3,210,0,13,9,45,25,2,1,0.75,19.823573
"Brined Light Doe","G","C",110,3,2,140,2,13,7,105,25,3,1,0.5,40.400208
"Frost Hazelnut Pound Cake","G","C",110,1,1,180,0,12,13,55,25,2,1,1,22.736446
"Primal Light Ale Ice Lollies","R","C",110,2,0,280,0,22,3,25,25,1,1,1,41.445019
"Bugbear Whip","K","C",100,2,0,290,1,21,2,35,25,1,1,1,45.863324
"Wolpertinger Molten Cake","K","C",110,1,0,90,1,13,12,20,25,2,1,1,35.782791
"Udoriac Cake","G","C",110,1,1,180,0,12,13,65,25,2,1,1,22.396513
"Fitiadine Bread","K","C",110,3,3,140,4,10,7,160,25,3,1,0.5,40.448772
